score,id_hex,candidate,parts,structure,n_parts,role,levels,kinds,sources
20.0,0x0ad0f813,WORMSPITTING14,WORM|SPITTING|14,3-tok:char|act|num,3,Text: Paused,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
20.0,0x18248010,SPIKESSPITTINGD,SPIKES|SPITTING|D,3-tok:item|act|dir,3,,KLOG,sprite|anim,beta
20.0,0x28a0c119,IDOLRAN34,IDOL|RAN|34,3-tok:char|act|num,3,,MENU,sprite|anim,beta
20.0,0x28a0c119,ROYALARMS16,ROYAL|ARMS|16,3-tok:char|body|num,3,,MENU,sprite|anim,beta
20.0,0x2ad0f011,JOEL1,JOE|L|1,3-tok:char|dir|num,3,Text: Yes,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
20.0,0x30a0c119,ROYALARMS07,ROYAL|ARMS|07,3-tok:char|body|num,3,,MENU,sprite|anim,beta
20.0,0x38a0c119,ROYALARM07,ROYAL|ARM|07,3-tok:char|body|num,3,,MENU,sprite|anim,beta
20.0,0x38a0c119,ROYALATK09,ROYAL|ATK|09,3-tok:char|act|num,3,,MENU,sprite|anim,beta
20.0,0x68c0f413,COLLECTD17,COLLECT|D|17,3-tok:item|dir|num,3,Text: Quit,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
20.0,0x68c0f413,FIFIEND3,FIFI|END|3,3-tok:char|act|num,3,Text: Quit,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
