class_hex,popcount,cluster_size,id_a,id_b,role_a,role_b
0x00000003,2,112,0x410800f9,0x410818f9,,
0x00000003,2,112,0x41ca1c10,0x42ca1c10,,
0x00000003,2,112,0x42ca1c10,0x44ca1c10,,
0x00000003,2,112,0x44ca1c10,0x48ca1c10,,
0x00000003,2,112,0x46269090,0x5e269090,,
0x00000003,2,112,0x462c6040,0x46346040,,
0x00000003,2,112,0x46346040,0x46386040,,
0x00000003,2,112,0x46386040,0x463e6040,,
0x00000003,2,112,0x48209640,0x49a09640,,
0x00000003,2,112,0x492c8430,0x512c8430,,
0x00000003,2,112,0x49609640,0x49a09640,,
0x00000003,2,112,0x4a3ea110,0x523ea110,Menu door opens to reveal monkey animation,
0x00000003,2,112,0x4a4ec094,0x524ec094,,
0x00000003,2,112,0x4aee0118,0x52ee0118,Shriney Guard boss slamming down animation,
0x00000003,2,112,0x4baf8200,0x53af8200,Shriney Guard boss yelling animation,
0x00000003,2,112,0x4c02d240,0x4c62d240,,
0x00000003,2,112,0x4c2a8850,0x542a8850,,
0x00000003,2,112,0x4c62d240,0x4ca2d240,,
0x00000003,2,112,0x51200640,0x61200640,,
0x00000003,2,112,0x512c8430,0x612c8430,,
0x00000003,2,112,0x52ee0118,0x62ee0118,,
0x00000003,2,112,0x53af8200,0x63af8200,,
0x00000003,2,112,0x5a89815f,0x5ab9815f,,
0x00000003,2,112,0x5ab9815f,0x5ad9815f,,
0x00000003,2,112,0x60181a0c,0x61981a0c,,Plain monkey enemy
0x00000003,2,112,0x60a91c9c,0x60aa1c9c,,
0x00000003,2,112,0x60b98cbd,0x60b9bcbd,,
0x00000003,2,112,0x61581a0c,0x61981a0c,,Plain monkey enemy
0x00000003,2,112,0x620ec210,0x7a0ec210,,
0x00000003,2,112,0x62318245,0x7a318245,,
0x00000003,2,112,0x6a351094,0x6c351094,,
0x00000003,2,112,0x6d209c95,0xed209c94,,
0x00000003,2,112,0x70204350,0x70404350,,
0x00000003,2,112,0x7c108242,0x7c108244,,
0x00000003,2,112,0x800da102,0x800da11a,,
0x00000003,2,112,0x800da102,0x800da132,,
0x00000003,2,112,0x800da116,0x800da11a,,
0x00000003,2,112,0x800da132,0x800da152,,
0x00000003,2,112,0x81421850,0x82421850,,
0x00000003,2,112,0xa9387d8c,0xc9387d8c,,
0x00000003,2,112,0xb0107444,0xb0d07444,,
0x00000003,2,112,0xb0107444,0xb1907444,,
0x00000003,2,112,0xb0807444,0xb0b07444,,
0x00000003,2,112,0xb0b07444,0xb0d07444,,
0x00000003,2,112,0xb1907444,0xb2907444,,
0x00000003,2,112,0xb468d0c6,0xb868d0c6,,
0x00000003,2,112,0xb868d0c6,0xbe68d0c6,,
0x00000003,2,112,0xc8648260,0xc864b260,,
0x00000003,2,112,0xc864b260,0xc864d260,,
0x00000003,2,112,0xe00e989d,0xe00e991d,,
0x00000003,2,112,0xf03391e9,0xf033a1e9,,
0x00000005,2,52,0x00ce0610,0x0ace0610,,
0x00000005,2,52,0x00ce0610,0x28ce0610,,
