suffix_a,suffix_b,id_a,id_b,calc_hash_prefix,shift_prefix,prefix_matches,role_a,role_b,levels_a,levels_b
1,2,0x1df99931,0x1ef99931,0x872f2406,22,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,2,0x28a0c119,0x30a0c119,0x0c042101,25,,,,MENU,MENU
1,2,0x2a6e0410,0x326e0410,0x55dc8021,25,,,,EGGS,FOOD;TMPL
1,2,0x2e809804,0x2e811804,0xc81f02a0,13,,,,KLOG,KLOG
1,2,0x2e809804,0x2e839804,0xc82f02a0,14,,,,KLOG,KLOG
1,3,0x2e811804,0x2e839804,0xc82f02a0,13,,,,KLOG,KLOG
1,2,0x302010c4,0x302016c4,0x1c1e5aa3,7,,,,,
1,2,0x3080820d,0x3080840d,0x080c0383,7,,,,MENU,MENU
1,2,0x3080820d,0x30808e0d,0x080cc383,8,,,,MENU,MENU
1,3,0x3080840d,0x30808e0d,0x080cc383,7,,,,MENU,MENU
1,2,0x3a186940,0x3a186980,0x5b112222,4,,,,CAVE;EGGS;GLID;WEED,CAVE;EGGS;GLID;WEED
1,2,0x400c989d,0x400c991d,0x198f018d,5,,,,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
1,3,0x400c989d,0x400c9a1d,0x198f018d,5,,,,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,PHRO;SCIE
1,2,0x400c991d,0x400c9a1d,0x198f018d,6,,,,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,PHRO;SCIE
1,3,0x400c9a1d,0x40189a1d,0x190f418d,16,,,,PHRO;SCIE,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
1,2,0x40106054,0x4c106054,0x9a1008ad,24,,,,MEGA,MEGA
1,2,0x407801d0,0x407801dc,0x171c38ad,0,,,,GLEN,GLEN
1,2,0x408a1c10,0x408a2c10,0x095d802d,10,,,,CAVE,FOOD
1,2,0x408a1c10,0x40ea1c10,0x0d5f802d,19,,,,CAVE,CLOU
1,3,0x408a1c10,0x40da1c10,0x0b5f802d,18,,,,CAVE,FINN
1,3,0x408a1c10,0x41ca1c10,0x015f802d,20,,,,CAVE,CRYS
1,2,0x408a2c10,0x40ea2c10,0x0d59802d,19,,,,FOOD,WEED
1,3,0x408a2c10,0x40da2c10,0x0b59802d,18,,,,FOOD,EGGS
1,2,0x40b18011,0x40b28011,0x0e0c000d,14,,,,MENU,MENU
1,3,0x40b18011,0x40b48011,0x0e0c000d,14,,,,MENU,MENU
1,2,0x40b28011,0x40b48011,0x0e0c000d,15,,,,MENU,MENU
1,2,0x40c21c10,0x40c22c10,0x005d802d,10,,,,BRG1,SCIE
1,2,0x40c21c10,0x40da1c10,0x015f802d,17,,,,BRG1,FINN
1,3,0x40c21c10,0x40ea1c10,0x015f802d,17,,,,BRG1,CLOU
1,2,0x40c22c10,0x40da2c10,0x0159802d,17,,,,SCIE,EGGS
1,3,0x40c22c10,0x40ea2c10,0x0159802d,17,,,,SCIE,WEED
1,2,0x40da1c10,0x40da2c10,0x035d802d,10,,,,FINN,EGGS
1,2,0x40da1c10,0x40ea1c10,0x015f802d,18,,,,FINN,CLOU
1,2,0x40da2c10,0x40ea2c10,0x0159802d,18,,,,EGGS,WEED
1,2,0x40ea1c10,0x40ea2c10,0x055d802d,10,,,,CLOU,WEED
1,2,0x410800f9,0x410818f9,0x391d1d0d,9,,,,FOOD;TMPL,FOOD;TMPL
1,2,0x41ca1c10,0x42ca1c10,0x015f802d,22,,,,CRYS,CLOU
1,3,0x41ca1c10,0x44ca1c10,0x015f802d,22,,,,CRYS,TMPL
1,2,0x42ca1c10,0x44ca1c10,0x015f802d,23,,,,CLOU,TMPL
1,3,0x42ca1c10,0x48ca1c10,0x015f802d,23,,,,CLOU,CAVE;CRYS
1,2,0x44ca1c10,0x48ca1c10,0x015f802d,24,,,,TMPL,CAVE;CRYS
1,2,0x46269090,0x5e269090,0xdcce102c,25,,,,WIZZ,MENU
1,2,0x462c6040,0x46346040,0xdc900a2d,17,,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
1,3,0x462c6040,0x46386040,0xdd100a2d,16,,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
1,2,0x46346040,0x46386040,0xde100a2d,16,,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
1,3,0x46346040,0x463e6040,0xded00a2d,15,,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
1,2,0x46386040,0x463e6040,0xdf500a2d,15,,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
1,2,0x48209640,0x49a09640,0x0c0eca2c,21,,,,,
1,3,0x48209640,0x49609640,0x140eca2c,20,,,,,
