container,kind,n_members,anchor,visual_role,dims_set,size_set,members
SNOW/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
SNOW/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
SNOW/primary,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
SNOW/stage0,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
SOAR/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
SOAR/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
SOAR/stage1,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
SOAR/stage1,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
SOAR/stage2,sprite,3,,,46x39 66x52,8596;10568;17248,0x400c991d;0xe00e989d;0xe00e991d
SOAR/stage2,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
TMPL/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
TMPL/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
TMPL/secondary,audio,3,FX_PICKUP_1970;FX_PICKUP_1970_03,,,3328;10848;14160,0x408a6461;0x428a6465;0x42906465
TMPL/stage0,sprite,3,,,66x52,8596;17248;18260,0x400c989d;0x400c991d;0xe00e991d
TMPL/stage0,sprite,3,,,17x19 17x20,3468,0x410800f9;0x410808f9;0x410818f9
TMPL/stage0,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
TMPL/stage1,sprite,3,,,66x52,8596;17248;18260,0x400c989d;0x400c991d;0xe00e991d
TMPL/stage1,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
TMPL/stage2,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
TMPL/stage2,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
WEED/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
WEED/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
WIZZ/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
WIZZ/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
WIZZ/primary,audio,3,FX_BOSS_WIZARD_TAUNT_3;FX_BOSS_WIZARD_TAUNT_2,,,14928;20592;23488,0x04041001;0x08041001;0x0e041001
