id_hex,tokenA,tokenB,full,score,visual_label
0x28a0c119,NESHLY,SLIME,NESHLYSLIME,5,
0x28a0c119,OLD,PYRENE,OLDPYRENE,5,
0x28a0c119,RIME,7,RIME7,5,
0x28a0c119,RIME,ALT,RIMEALT,5,
0x28a0c119,RUN,FLAMES,RUNFLAMES,5,
0x28a0c119,SHARD,AGNEAN,SHARDAGNEAN,5,
0x28a0c119,SUR,AREA,SURAREA,5,
0x28c080df,25,SEGUE,25SEGUE,5,
0x29808408,DAMAS,BARKING,DAMASBARKING,5,
0x29808408,FINGER,WRACKS,FINGERWRACKS,5,
0x3080820d,GASS,SHINS,GASSSHINS,5,
0x3080820d,START,SHINZA,STARTSHINZA,5,
0x3080820d,SUAEDA,HEART,SUAEDAHEART,5,
0x30a0c119,24,NAYAR,24NAYAR,5,
0x30a0c119,A,GRAEME,AGRAEME,5,
0x30a0c119,ARMS,URARE,ARMSURARE,5,
0x30a0c119,GAES,ROYAL,GAESROYAL,5,
0x30a0c119,ROT,SMEARS,ROTSMEARS,5,
0x38a0c119,20,DOLMAS,20DOLMAS,5,
0x38a0c119,24,HART,24HART,5,
0x38a0c119,AGEE,HORN,AGEEHORN,5,
0x38a0c119,COCKAL,SCREAM,COCKALSCREAM,5,
0x38a0c119,HEML,LIFE,HEMLLIFE,5,
0x38a0c119,HORN,CORREO,HORNCORREO,5,
0x38a0c119,HYLE,HORN,HYLEHORN,5,
0x38a0c119,MENU,ENSEAT,MENUENSEAT,5,
0x38a0c119,RECART,19,RECART19,5,
0x38a0c119,ROT,SMEAR,ROTSMEAR,5,
0x38a0c119,ZAMIA,OLD,ZAMIAOLD,5,
0x40b48011,BUBBER,HIP,BUBBERHIP,5,
0x40c22c10,PUNDIT,BALLS,PUNDITBALLS,5,
0x48ca1c10,PARODY,DEMON,PARODYDEMON,5,
0x68c01218,OTELLO,BANNER,OTELLOBANNER,5,
0x70404350,WEEDOW,BARREL,WEEDOWBARREL,5,
0x72000210,SHARD,BLABBY,SHARDBLABBY,5,
0x980c6211,ESCARS,SPARK,ESCARSSPARK,5,
0x9cc87050,DONSKY,SHOOT,DONSKYSHOOT,5,
0x00000000,BCD,SWAGER,BCDSWAGER,0,
0x00000000,BELAST,AMINE,BELASTAMINE,0,
0x00000000,BRUIN,SHAI,BRUINSHAI,0,
0x00000000,BRUNE,INHERE,BRUNEINHERE,0,
0x00000000,BYBLIS,WAWLS,BYBLISWAWLS,0,
0x00000000,BYNIN,THIN,BYNINTHIN,0,
0x00000000,DAMNS,ORGIES,DAMNSORGIES,0,
0x00000000,DORMIE,BRUSH,DORMIEBRUSH,0,
0x00000000,ENFIRE,GRINS,ENFIREGRINS,0,
0x00000000,ENIAC,TIEPIN,ENIACTIEPIN,0,
0x00000000,FLAMB,GRAIAN,FLAMBGRAIAN,0,
0x00000000,GUIMPE,LAURE,GUIMPELAURE,0,
0x00000000,GUIMPE,MURES,GUIMPEMURES,0,
0x00000000,ISIDIA,ALBYN,ISIDIAALBYN,0,
0x00000000,JIHAD,BRUISE,JIHADBRUISE,0,
0x00000000,MOMISH,FORGE,MOMISHFORGE,0,
0x00000000,MOMISH,URGES,MOMISHURGES,0,
0x00000000,OLEOS,PAROUS,OLEOSPAROUS,0,
0x00000000,RACOON,YADIM,RACOONYADIM,0,
0x00000000,REDEED,SWACK,REDEEDSWACK,0,
0x00000000,REEDED,JACKY,REEDEDJACKY,0,
0x00000000,REEDEN,AGGUR,REEDENAGGUR,0,
0x00000000,RINDS,SANCHO,RINDSSANCHO,0,
0x00000000,SAGEER,EVERY,SAGEEREVERY,0,
0x00000000,SALE,MIGGS,SALEMIGGS,0,
0x00000000,SALEM,WRAF,SALEMWRAF,0,
0x00000000,SANCY,BRICKS,SANCYBRICKS,0,
0x00000000,SANGH,JAILOR,SANGHJAILOR,0,
0x00000000,SANG,SIVER,SANGSIVER,0,
0x00000000,SHADE,DIOSMA,SHADEDIOSMA,0,
0x00000000,SHADED,IPR,SHADEDIPR,0,
0x00000000,SHAWMS,VISON,SHAWMSVISON,0,
0x00000000,SHEETY,PREPS,SHEETYPREPS,0,
0x00000000,SHEIKH,FPS,SHEIKHFPS,0,
0x00000000,SHEIK,HIMP,SHEIKHIMP,0,
0x00000000,SHER,SONGS,SHERSONGS,0,
0x00000000,SHREWD,ODEON,SHREWDODEON,0,
0x00000000,SNARL,RINSED,SNARLRINSED,0,
0x00000000,SOCO,GAMIN,SOCOGAMIN,0,
0x00000000,SOLDI,ETHIDE,SOLDIETHIDE,0,
0x00000000,SOPS,VETUS,SOPSVETUS,0,
0x00000000,SOP,WRAXLE,SOPWRAXLE,0,
0x00000000,SORUS,DEMI,SORUSDEMI,0,
0x00000000,SORUS,VARVES,SORUSVARVES,0,
0x00000000,SOUNDS,VEDET,SOUNDSVEDET,0,
0x00000000,THINK,BRICKY,THINKBRICKY,0,
0x00000000,WIRED,AWRONG,WIREDAWRONG,0,
0x00000000,WIRERS,INORG,WIRERSINORG,0,
