function,n_ids,cluster_class,n_pairs_in_class,n_suffix_candidates,example_pair,suffix_candidates
PlaySoundEffect,5,0x0468a44f,1,0,0x00248e52↔0x44d4c8d8,
PlaySoundEffect,5,0x024b0889,1,0,0x00248e52↔0x5860c640,
PlaySoundEffect,5,0x0f4888a7,1,0,0x00248e52↔0x70d006d8,
PlaySoundEffect,5,0x05ad7113,1,0,0x246166fa↔0x44d4c8d8,
PlaySoundEffect,5,0x00682e9f,1,0,0x246166fa↔0x5860c640,
PlaySoundEffect,5,0x0112a58b,1,0,0x246166fa↔0x70d006d8,
PlaySoundEffect,5,0x039681d3,1,0,0x44d4c8d8↔0x5860c640,
Callback_800570a4,5,0x00000009,1,244,0x462c6040↔0x463e6040,0↔3 | 0↔C | 0↔I | 1↔4 | 1↔D | 1↔J | 1↔RUN | 2↔5
Callback_800570a4,5,0x04242411,1,1,0x462c6040↔0xd6bc2450,64↔PIECE
Callback_800570a4,5,0x04242211,1,3,0x46346040↔0xd6bc2450,R↔DEACTIVATE | 63↔PIECE | F37↔KICK
Callback_800570a4,5,0x04242111,1,2,0x46386040↔0xd6bc2450,62↔PIECE | MIRROR↔CLOSING
Callback_800570a4,5,0x04242091,1,2,0x463e6040↔0xd6bc2450,61↔PIECE | 77↔BONUS
PlayerCallback_8005cce0,5,0x0024518b,1,0,0x4260c8b5↔0x54608016,
PlayerCallback_8005cce0,5,0x0094634b,1,0,0x4260c8b5↔0x5838cc16,
PlayerCallback_8005cce0,5,0x151a7923,1,0,0x4260c8b5↔0x91a9d01d,
PlayerCallback_8005cce0,5,0x0708b093,1,0,0x4260c8b5↔0xd167c005,
PlayerCallback_8005cce0,5,0x00031613,1,0,0x54608016↔0x5838cc16,
PlayerCallback_8005cce0,5,0x00bc5c95,1,0,0x54608016↔0x91a9d01d,
PlayerCallback_8005cce0,5,0x004e141d,1,0,0x54608016↔0xd167c005,
PlayerCallback_8005cce0,5,0x02f26447,1,0,0x5838cc16↔0x91a9d01d,
PlayerCallback_8005d404,5,0x02a14ac3,1,0,0x146ce002↔0x3d348056,
PlayerCallback_8005d404,5,0x00218625,1,0,0x146ce002↔0xb468d0c6,
PlayerCallback_8005d404,5,0x010c312b,1,0,0x146ce002↔0xb868d0c6,
PlayerCallback_8005d404,5,0x02186255,1,0,0x146ce002↔0xbe68d0c6,
PlayerCallback_8005d404,5,0x0895c509,1,0,0x3d348056↔0xb468d0c6,
PlayerCallback_8005d404,5,0x0855c509,1,0,0x3d348056↔0xb868d0c6,
PlayerCallback_8005d404,5,0x06b8a121,1,0,0x3d348056↔0xbe68d0c6,
EntityInitCallback_80070850,5,0x02a14ac3,1,0,0x146ce002↔0x3d348056,
EntityInitCallback_80070850,5,0x00218625,1,0,0x146ce002↔0xb468d0c6,
EntityInitCallback_80070850,5,0x010c312b,1,0,0x146ce002↔0xb868d0c6,
EntityInitCallback_80070850,5,0x02186255,1,0,0x146ce002↔0xbe68d0c6,
EntityInitCallback_80070850,5,0x0895c509,1,0,0x3d348056↔0xb468d0c6,
EntityInitCallback_80070850,5,0x0855c509,1,0,0x3d348056↔0xb868d0c6,
EntityInitCallback_80070850,5,0x06b8a121,1,0,0x3d348056↔0xbe68d0c6,
SpawnCollectibleParticles,4,0x00000005,1,288,0x5a89815f↔0x5ad9815f,0↔2 | 0↔D | 0↔H | 1↔3 | 1↔E | 1↔I | 2↔4 | 2↔F
SpawnCollectibleParticles,4,0x07370a27,1,0,0x5a89815f↔0x98004092,
SpawnCollectibleParticles,4,0x07370ae7,1,0,0x5ab9815f↔0x98004092,
SpawnCollectibleParticles,4,0x07370b67,1,0,0x5ad9815f↔0x98004092,
GlennYntisDeathEventHandler,4,0x00000005,1,288,0x18e88310↔0x18e88910,0↔2 | 0↔D | 0↔H | 1↔3 | 1↔E | 1↔I | 2↔4 | 2↔F
GlennYntisDeathEventHandler,4,0x00001105,1,26,0x18e88310↔0x18e8c704,Y↔TEETH | 01↔HEAD | 02↔24 | 06↔20 | 12↔34 | 16↔30 | 22↔44 | 26↔40
GlennYntisDeathEventHandler,4,0x00001085,1,20,0x18e88510↔0x18e8c704,R↔ABOVE | Z↔TEETH | 01↔24 | 02↔HEAD | 11↔34 | 21↔44 | 25↔ENRAGE | 31↔54
GlennYntisDeathEventHandler,4,0x00001385,1,2,0x18e88910↔0x18e8c704,03↔HEAD | 99↔CHARGE
JoeHeadJoeMoveAndCheckAttack,4,0x01446087,1,0,0x0b290ba2↔0x0e3889be,
JoeHeadJoeMoveAndCheckAttack,4,0x0694d639,1,0,0x0b290ba2↔0x603588e8,
JoeHeadJoeMoveAndCheckAttack,4,0x0130df35,1,0,0x0b290ba2↔0xf2810224,
JoeHeadJoeMoveAndCheckAttack,4,0x01566e0d,1,0,0x0e3889be↔0x603588e8,
JoeHeadJoeMoveAndCheckAttack,4,0x1735f973,1,0,0x0e3889be↔0xf2810224,
JoeHeadJoeMoveAndCheckAttack,4,0x15992569,1,0,0x603588e8↔0xf2810224,
ShrineyGuardSoundUpdateTick,4,0x00003309,1,1,0x086e44c0↔0x11eac4c0,53↔WAVE
ShrineyGuardSoundUpdateTick,4,0x00000141,1,52,0x086e44c0↔0x204e44c0,6↔02 | 7↔12 | 8↔00 | 8↔22 | 9↔10 | 9↔32 | L↔02 | M↔12
ShrineyGuardSoundUpdateTick,4,0x00402283,1,0,0x086e44c0↔0x205e40c2,
ShrineyGuardSoundUpdateTick,4,0x00006349,1,0,0x11eac4c0↔0x204e44c0,
ShrineyGuardSoundUpdateTick,4,0x008c6d21,1,0,0x11eac4c0↔0x205e40c2,
ShrineyGuardSoundUpdateTick,4,0x00080201,1,25,0x204e44c0↔0x205e40c2,0↔94 | A↔44 | A↔57 | A↔83 | B↔54 | B↔67 | B↔93 | C↔64
InitEntityWithChildSprite,3,0x069a42a5,1,0,0x222d9098↔0x60889602,
InitEntityWithChildSprite,3,0x0242d253,1,0,0x222d9098↔0x8429153c,
