id_hex,id_dec,kinds,popcount,n_builds,beta,demo_eu,demo_jp,pal_d1,pal_d2,pal_d3,jp,us
0x10b91810,280565776,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x10b9181c,280565788,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x10b94810,280578064,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x10b9481c,280578076,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x10b95010,280580112,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x10b9501c,280580124,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x10b95a10,280582672,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x10b95a1c,280582684,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x10b95c10,280583184,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x10b95c1c,280583196,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x10b97810,280590352,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x10b9781c,280590364,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x10b9d810,280614928,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x10b9d81c,280614940,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x10bb5810,280713232,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x10f0e983,284223875,audio,13,8,1,1,1,1,1,1,1,1
0x112ae088,288022664,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x11eac4c0,300598464,audio,12,6,1,0,0,1,1,1,1,1
0x12308128,305168680,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x12800031,310378545,sprite|anim,6,8,1,1,1,1,1,1,1,1
0x13ab9854,330012756,sprite,14,1,0,0,0,0,1,0,0,0
0x146ce002,342679554,audio,10,8,1,1,1,1,1,1,1,1
0x1546b710,356955920,audio,13,8,1,1,1,1,1,1,1,1
0x168254b5,377640117,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x181c3854,404502612,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x18248010,405045264,sprite|anim,6,6,1,0,0,1,1,1,1,1
0x1828e640,405333568,audio,10,8,1,1,1,1,1,1,1,1
0x18298210,405373456,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x18ce0610,416155152,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x18e88310,417891088,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x18e88510,417891600,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x18e88910,417892624,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x18e8c704,417908484,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x193ca112,423403794,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x1a202d81,438316417,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x1a28c11a,438878490,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x1a2ab594,439006612,sprite|anim,14,8,1,1,1,1,1,1,1,1
0x1a2c8516,439125270,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x1a3109b2,439421362,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x1b280858,455608408,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x1b280c33,455609395,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x1b301085,456134789,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x1b610064,459341924,audio,10,8,1,1,1,1,1,1,1,1
0x1c395196,473518486,sprite|anim,14,8,1,1,1,1,1,1,1,1
0x1c3aa013,473604115,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x1c8c2437,478946359,sprite|anim,13,6,1,0,0,1,1,1,1,1
0x1cf99931,486119729,sprite|anim,16,8,1,1,1,1,1,1,1,1
0x1d1811b3,488116659,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x1df99931,502896945,sprite|anim,17,8,1,1,1,1,1,1,1,1
0x1e089010,503877648,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x1e1000b3,504365235,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x1e181d10,504896784,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x1e28e0d4,505995476,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x1ef99931,519674161,sprite|anim,17,8,1,1,1,1,1,1,1,1
0x20211e5f,539041375,sprite|anim,13,8,1,1,1,1,1,1,1,1
